Asset,Term,Beta,T_Stat,R2,N_Obs
UST_Short_1_3Y,HML,-0.017251167833315866,-1.2818970998626347,0.041774348873247824,246
UST_Short_1_3Y,RMW,0.019116505733202005,1.2309687759588919,0.041774348873247824,246
UST_Short_1_3Y,CMA,0.00640175619232466,0.30402920709197884,0.041774348873247824,246
UST_Intermediate_7_10Y,Alpha,0.11316426012589634,0.8928692144545106,0.08992906779850418,246
UST_Intermediate_7_10Y,Mkt-RF,-0.0012968363215029434,-0.03234936734393467,0.08992906779850418,246
UST_Intermediate_7_10Y,SMB,-0.03232910257606882,-0.6307645209594048,0.08992906779850418,246
UST_Intermediate_7_10Y,HML,-0.16205356816762917,-2.8475634482952605,0.08992906779850418,246
UST_Intermediate_7_10Y,RMW,0.10439630856975315,1.3802719646843373,0.08992906779850418,246
UST_Intermediate_7_10Y,CMA,0.05061385199383744,0.5766644688697603,0.08992906779850418,246
UST_Long_20Y_Plus,Alpha,0.14916348118620995,0.5670204027345578,0.08293407545927278,246
UST_Long_20Y_Plus,Mkt-RF,-0.020361621969032285,-0.2530084815242229,0.08293407545927278,246
UST_Long_20Y_Plus,SMB,-0.08132834163594727,-0.78060517087813,0.08293407545927278,246
UST_Long_20Y_Plus,HML,-0.34315018702686073,-2.60669706788489,0.08293407545927278,246
UST_Long_20Y_Plus,RMW,0.10290133156201846,0.6933692482159178,0.08293407545927278,246
UST_Long_20Y_Plus,CMA,0.12734440699363772,0.7152008142723468,0.08293407545927278,246
UST_TIPS,Alpha,-0.057678387148383435,-0.4592815912522224,0.20616521997463333,190
UST_TIPS,Mkt-RF,0.13024804244046098,3.216126104829553,0.20616521997463333,190
UST_TIPS,SMB,0.020143317105468656,0.5349909945206546,0.20616521997463333,190
UST_TIPS,HML,-0.11150369649727986,-2.7916808315310213,0.20616521997463333,190
UST_TIPS,RMW,0.15105356249337343,3.0589070861653695,0.20616521997463333,190
UST_TIPS,CMA,0.04783643823627605,0.7552359659299207,0.20616521997463333,190
US_REIT,Alpha,-0.25521344403613194,-1.0321708023954506,0.5789769765607975,246
US_REIT,Mkt-RF,0.9752734677941661,11.521778117901373,0.5789769765607975,246
US_REIT,SMB,0.26882514839209876,2.184394643811902,0.5789769765607975,246
US_REIT,HML,0.24707956482387242,1.467539482044911,0.5789769765607975,246
US_REIT,RMW,0.21629673986368908,1.5553552936739496,0.5789769765607975,246
US_REIT,CMA,0.0222591391458124,0.1137436585077533,0.5789769765607975,246
Intl_REIT,Alpha,-0.5771914766874104,-2.3919259898530285,0.505627304535954,187
Intl_REIT,Mkt-RF,0.78360925077245,13.720720545348067,0.505627304535954,187
Intl_REIT,SMB,0.06985578828863626,0.7748802356324817,0.505627304535954,187
Intl_REIT,HML,0.10561946259558436,0.7535764193035545,0.505627304535954,187
Intl_REIT,RMW,0.17163264736805817,1.3364484337017635,0.505627304535954,187
Intl_REIT,CMA,0.16170719487956148,0.9401124730393816,0.505627304535954,187
Broad_Commodities,Alpha,-0.27865661962907057,-0.7001673911992508,0.2432827831701978,244
Broad_Commodities,Mkt-RF,0.5146354895716574,5.163562926845432,0.2432827831701978,244
Broad_Commodities,SMB,-0.08351205206193067,-0.6127004830164309,0.2432827831701978,244
Broad_Commodities,HML,0.4031598949718077,3.1563739298084434,0.2432827831701978,244
Broad_Commodities,RMW,0.10835894902091313,0.5387811865140586,0.2432827831701978,244
Broad_Commodities,CMA,-0.12138932048258246,-0.5304827458965298,0.2432827831701978,244
Gold,Alpha,0.5612440148266248,1.8278600784978591,0.04426185154864959,246
Gold,Mkt-RF,0.15597740299701873,2.003640235358603,0.04426185154864959,246
Gold,SMB,-0.0993401674756689,-0.7551477347677545,0.04426185154864959,246
Gold,HML,-0.18755082642948268,-1.3643465467504907,0.04426185154864959,246
Gold,RMW,0.3512666102648027,2.267606254809754,0.04426185154864959,246
Gold,CMA,0.0920276882969972,0.4598039496905533,0.04426185154864959,246
