Asset,Alpha,Mkt-RF,SMB,HML,RMW,CMA,US_Growth_Factor,Global_Growth_Factor,Inflation_Factor,Rates_Yields_Factor,US_Monetary_Policy_Factor,Global_Monetary_Policy_Factor,Currency_Factor,Credit_Risk_Factor,Commodities_Factor
US_IG_Intermediate,1.5149953123905504,3.070515364200444,-0.13090910290144883,-0.48905497203088044,2.064410505006117,-1.012674818899206,-0.250319999460739,-1.7480239369607926,-5.244600480854302,-0.671859877309615,-0.8132445151477319,0.27408291452909794,-5.508386631507272,0.8555619909834133,-0.07837959918847542
US_IG_Long,0.6975218623785886,3.3007384247790115,-1.1106591777266817,-0.7922012814471526,1.0335676162161802,-0.3852678298678858,0.5972733104803442,-1.67811856185349,-3.5169014538809424,-1.4975335351353913,-0.5511205576418597,0.8648433044286961,-3.2511461246158233,0.18127267918171663,-0.9689041199178828
US_IG_Short,2.304192575966245,3.2820762586256556,0.140754676173683,0.29541106767553654,2.4669377756539563,-1.428536394137408,-0.5063334889012779,-1.6476806915446023,-6.157027745212784,-0.48224600433078535,-0.664833569856999,0.28325082815961317,-6.385896882420416,1.065729778798038,0.37746896597050106
US_LC_Blend,-1.597596033314954,185.17515066067827,-15.37073067346514,2.8901848040775144,4.17143767646235,1.6552859629802315,0.8202459541587594,1.9122326860643994,1.917089181697559,0.9740898169123409,1.0134611357484609,-1.4876737866611631,-0.7025856976373768,-1.5128176392212762,-2.643800544321218
US_LC_Growth,1.0103657243680466,55.895274999330084,-3.6866589377467007,-9.859444410413666,0.0995216440020166,-4.057412511842489,1.144477642090326,0.4507770950733098,1.3711752193097089,0.4980701535063716,0.4458033232595857,0.026306307123604995,0.6985112283522068,0.5772963885052931,0.26098822973340446
US_LC_Value,-0.639626622505843,36.29890268434629,-1.8227973380566476,9.14831748000284,2.190325503833085,3.781541660568742,-0.8340940350224159,0.12324403227312875,-1.3502643567574428,-0.12000283044596353,-0.6484650102572238,-0.6221759201710388,-2.2681524314821946,-1.5894955564222983,-0.8635334175802263
US_MC_Blend,-0.8189110243956618,40.7192008414522,16.946666078731344,2.2943120384732896,3.9155805688414325,0.27428005921952536,-0.7778775814644885,-0.7675347331960906,-1.916390422553691,-0.38482571127510345,-2.0024552353104625,-0.32163172380732824,-1.2248916024960728,1.280408841878052,1.5963696174220587
US_MC_Growth,-0.5220120169165781,32.109242335005824,11.74640625573596,-1.8817951645991335,2.281255863532637,-0.12227355043330149,0.31328134642599914,-0.28527201723307366,-1.311962418814181,0.2908404957081897,-1.4162229905069335,-0.3225631037594494,-0.41936817865572346,1.1276749812774616,1.2427314598798382
US_MC_Value,-1.1608291655713205,37.732195392172684,15.487901545820662,5.1551185786533065,4.717317106231663,0.5969707495272101,-2.3611279416156643,-1.6727456462925465,-2.1633246864617486,-1.5590892609268971,-2.9159598315220467,-0.20717420613918164,-1.8522369995415275,1.1609720175873104,2.1499393592508556
US_REIT,-0.7396661189186265,9.456770788742746,2.416922250244535,1.6535919802531236,1.9176292188345967,-0.08748196496197984,0.4665882868402387,-0.752038617506052,-1.0561232135007539,-0.01837738022970555,-0.758286355268887,-0.9917041954493465,-2.0405043859041725,-0.1963143777952641,-2.3895038563888633
US_SC_Blend,-0.42260432041460877,57.08788362268319,30.60804257943436,8.592660989419283,4.02272502632083,1.0888602698749397,1.5062780217192615,-1.0298562652386438,-1.5998116613131728,-0.20237337302804112,-1.5898160524962157,0.2631076665629957,0.47263168668163286,-0.7362502037711722,-1.7285781542765002
US_SC_Growth,0.11008785986194987,45.85113118088742,23.848505690267917,0.2325314596532494,2.756483160978999,0.04615058922056188,2.1552825550055457,-0.20847675334352103,-1.2163515406513181,0.002974761932568729,-1.1221807042780154,0.6524819023804066,0.4719531752248213,-1.613706307808782,-1.7092880523795224
US_SC_Value,-1.226809588812649,53.80463186447379,30.20283351034575,12.347431566970377,4.514544845995429,1.3535041271574162,-0.7884206321244029,-2.101179245856257,-1.3433745515747761,-0.8188840357509719,-1.9308345288844635,0.09155135654265745,-0.30652544528076225,0.7376308406635153,-1.5344392971416807
